scenario,model,plugin,turn,session_id,input,output,reasoning,cache_write,cache_read,total,cost,status,error_message
haiku-chat10,anthropic/claude-haiku-4-5,0,1,ses_250c4db94ffeIf9v47CvoCFAwf,2,9,0,0,25891,25902,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,0,2,ses_250c4db94ffeIf9v47CvoCFAwf,1,13,0,0,25911,25925,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,0,3,ses_250c4db94ffeIf9v47CvoCFAwf,0,9,0,0,25936,25945,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,0,4,ses_250c4db94ffeIf9v47CvoCFAwf,0,13,0,0,25957,25970,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,0,5,ses_250c4db94ffeIf9v47CvoCFAwf,0,22,0,0,25983,26005,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,0,6,ses_250c4db94ffeIf9v47CvoCFAwf,0,14,0,32,25983,26029,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,0,7,ses_250c4db94ffeIf9v47CvoCFAwf,0,4,0,24,26015,26043,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,0,8,ses_250c4db94ffeIf9v47CvoCFAwf,0,14,0,15,26039,26068,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,0,9,ses_250c4db94ffeIf9v47CvoCFAwf,0,4,0,24,26054,26082,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,0,10,ses_250c4db94ffeIf9v47CvoCFAwf,0,22,0,18,26078,26118,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,1,1,ses_250c3e1aaffePWna5adyg0ei4i,2,11,0,0,15594,15607,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,1,2,ses_250c3e1aaffePWna5adyg0ei4i,1,17,0,22,15594,15634,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,1,3,ses_250c3e1aaffePWna5adyg0ei4i,0,5,0,29,15616,15650,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,1,4,ses_250c3e1aaffePWna5adyg0ei4i,0,13,0,17,15645,15675,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,1,5,ses_250c3e1aaffePWna5adyg0ei4i,0,34,0,26,15662,15722,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,1,6,ses_250c3e1aaffePWna5adyg0ei4i,0,8,0,44,15688,15740,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,1,7,ses_250c3e1aaffePWna5adyg0ei4i,0,4,0,18,15732,15754,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,1,8,ses_250c3e1aaffePWna5adyg0ei4i,0,4,0,15,15750,15769,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,1,9,ses_250c3e1aaffePWna5adyg0ei4i,0,4,0,14,15765,15783,0,ok,
haiku-chat10,anthropic/claude-haiku-4-5,1,10,ses_250c3e1aaffePWna5adyg0ei4i,0,6,0,18,15779,15803,0,ok,
haiku-tools10,anthropic/claude-haiku-4-5,0,1,ses_250c2e0fdffe7luIrdZRu6AEQ2,5,27,0,0,26848,26880,0,ok,
haiku-tools10,anthropic/claude-haiku-4-5,0,2,ses_250c2e0fdffe7luIrdZRu6AEQ2,4,29,0,1049,26848,27930,0,ok,
haiku-tools10,anthropic/claude-haiku-4-5,0,3,ses_250c2e0fdffe7luIrdZRu6AEQ2,3,71,0,513,28046,28633,0,ok,
haiku-tools10,anthropic/claude-haiku-4-5,0,4,ses_250c2e0fdffe7luIrdZRu6AEQ2,4,191,0,3442,28745,32382,0,ok,
haiku-tools10,anthropic/claude-haiku-4-5,0,5,ses_250c2e0fdffe7luIrdZRu6AEQ2,0,65,0,212,32187,32464,0,ok,
haiku-tools10,anthropic/claude-haiku-4-5,0,6,ses_250c2e0fdffe7luIrdZRu6AEQ2,2,24,0,469,32399,32894,0,ok,
haiku-tools10,anthropic/claude-haiku-4-5,0,7,ses_250c2e0fdffe7luIrdZRu6AEQ2,1,24,0,641,32868,33534,0,ok,
haiku-tools10,anthropic/claude-haiku-4-5,0,8,ses_250c2e0fdffe7luIrdZRu6AEQ2,0,10,0,3958,33536,37504,0,ok,
haiku-tools10,anthropic/claude-haiku-4-5,0,9,ses_250c2e0fdffe7luIrdZRu6AEQ2,4,47,0,3534,37615,41200,0,ok,
haiku-tools10,anthropic/claude-haiku-4-5,0,10,ses_250c2e0fdffe7luIrdZRu6AEQ2,0,83,0,70,41149,41302,0,ok,
haiku-tools10,anthropic/claude-haiku-4-5,1,1,ses_250c17edbffeBY3sYo71xkXR2R,5,12,0,0,16542,16559,0,ok,
haiku-tools10,anthropic/claude-haiku-4-5,1,2,ses_250c17edbffeBY3sYo71xkXR2R,5,12,0,1010,16556,17583,0,ok,
haiku-tools10,anthropic/claude-haiku-4-5,1,3,ses_250c17edbffeBY3sYo71xkXR2R,4,56,0,120,17698,17878,0,ok,
haiku-tools10,anthropic/claude-haiku-4-5,1,4,ses_250c17edbffeBY3sYo71xkXR2R,6,179,0,3214,15669,19068,0,ok,
haiku-tools10,anthropic/claude-haiku-4-5,1,5,ses_250c17edbffeBY3sYo71xkXR2R,2,60,0,200,18883,19145,0,ok,
haiku-tools10,anthropic/claude-haiku-4-5,1,6,ses_250c17edbffeBY3sYo71xkXR2R,5,24,0,3190,15669,18888,0,ok,
haiku-tools10,anthropic/claude-haiku-4-5,1,7,ses_250c17edbffeBY3sYo71xkXR2R,4,24,0,641,18859,19528,0,ok,
haiku-tools10,anthropic/claude-haiku-4-5,1,8,ses_250c17edbffeBY3sYo71xkXR2R,5,10,0,6996,15267,22278,0,ok,
haiku-tools10,anthropic/claude-haiku-4-5,1,9,ses_250c17edbffeBY3sYo71xkXR2R,7,19,0,8574,15267,23867,0,ok,
haiku-tools10,anthropic/claude-haiku-4-5,1,10,ses_250c17edbffeBY3sYo71xkXR2R,2,80,0,43,23841,23966,0,ok,
opus-single,anthropic/claude-opus-4-7,0,1,ses_250c0829cffe9fpte02injJK4Q,5,6,0,36567,0,36578,0,ok,
opus-single,anthropic/claude-opus-4-7,1,1,ses_250c062bdffe7yrKFkIMie2Gl2,5,6,0,21776,0,21787,0,ok,
openai-gpt54mini-single,openai/gpt-5.4-mini,0,1,ses_250c04717ffek2wllhRSQHEMSE,,,,,,,,error,Your authentication token has been invalidated. Please try signing in again.
openai-gpt54-single,openai/gpt-5.4,0,1,ses_250c02d7dffex6iJYD1rrFJTgy,,,,,,,,error,Your authentication token has been invalidated. Please try signing in again.
